arm,cold_plan_and_execution_ms,delivery_ms,encoding_status,execution_ms,field_status,final_text_ready_ms,first_progress_emitted_ms,mixture_model,node_active_union_ms,node_count,node_overlap_ms,node_queue_ms,node_resource_ms,offline_afp,online_afp,online_ms,peak_nodes,plan_ready_ms,planning_ms,quality_status,repeat,run_id,status,task_id
direct-strong,,17062.65145796351,canonical,4858.920041937381,pass,4859.134875005111,0.012291129678487778,strong,4852.817707927898,1,0,0.7445421069860458,4852.817707927898,1.179,1.7361,21921.786332968622,1,0.21483306773006916,0.21483306773006916,pending,1,analysis-01-r1-direct-strong,delivered-unconfirmed,analysis-01
auto-heterogeneous,,10939.035166986287,canonical,10160.551125183702,pass,15349.06620811671,0.07837498560547829,strong,10132.269417168573,3,1741.1753330379725,19.633666845038533,11873.444750206545,1.185,2.5568,26288.101375102997,2,5188.515082933009,5188.515082933009,pending,1,analysis-01-r1-auto-heterogeneous,delivered-unconfirmed,analysis-01
task-selector,,10688.273624982685,canonical,2255.692084087059,pass,3890.99358394742,0.08412497118115425,strong,2231.8158340640366,1,0,8.482750039547682,2231.8158340640366,1.207,1.28285,14579.267208930105,1,1635.3014998603612,1635.3014998603612,pending,1,analysis-01-r1-task-selector,delivered-unconfirmed,analysis-01
shared-single-1,27479.294790886343,10871.280665975064,canonical,13868.697958998382,pass,13869.196709012613,0.07020891644060612,cheap,13795.193126192316,4,0,5961.780581623316,13795.193126192316,1.31,3.59015,24740.477374987677,1,0.49875001423060894,0.49875001423060894,pending,1,analysis-01-r1-shared-single-1,delivered-unconfirmed,analysis-01
shared-heterogeneous-2,,10247.071916004643,canonical,15744.825958972797,pass,15745.372500037774,0.04204106517136097,strong,15698.199834208935,4,5258.0472498666495,32.885291846469045,20956.247084075585,1.221,2.82505,25992.444416042417,2,0.5465410649776459,0.5465410649776459,pending,1,analysis-01-r1-shared-heterogeneous-2,delivered-unconfirmed,analysis-01
direct-mid,,13576.8069580663,canonical,8879.938458791003,pass,8880.559416953474,0.06616697646677494,cheap,8846.168499905616,1,0,12.70575006492436,8846.168499905616,1.58,1.9505,22457.366375019774,1,0.620958162471652,0.620958162471652,pending,1,analysis-01-r1-direct-mid,delivered-unconfirmed,analysis-01
direct-cheap,,9921.06470791623,canonical,2594.8660420253873,pass,2595.359083963558,0.06245891563594341,strong,2563.652333104983,1,0,14.481707941740751,2563.652333104983,1.164,1.2074500000000001,12516.423791879788,1,0.4930419381707907,0.4930419381707907,pending,1,analysis-01-r1-direct-cheap,delivered-unconfirmed,analysis-01
shared-heterogeneous-1,,12296.94383381866,canonical,16267.550083110109,pass,16268.180291168392,0.06825011223554611,strong,16146.242208080366,4,0,8125.483874930069,16146.242208080366,1.505,2.89725,28565.12412498705,1,0.630208058282733,0.630208058282733,pending,1,analysis-01-r1-shared-heterogeneous-1,delivered-unconfirmed,analysis-01
shared-single-2,,14868.675958132371,canonical,9745.85033301264,pass,9746.84195802547,0.08704094216227531,strong,9685.03737472929,4,2750.196416862309,54.15150034241378,12435.2337915916,1.249,3.6327499999999997,24615.51791615784,2,0.9916250128298998,0.9916250128298998,pending,1,analysis-01-r1-shared-single-2,delivered-unconfirmed,analysis-01
direct-mid,,13230.856791837141,canonical,8210.200000088662,pass,8210.754708154127,0.07762503810226917,strong,8169.479042058811,1,0,15.667333034798503,8169.479042058811,1.459,1.85375,21441.611499991268,1,0.5547080654650927,0.5547080654650927,pending,1,analysis-02-r1-direct-mid,delivered-unconfirmed,analysis-02
shared-single-2,36269.75558279082,12543.094499967992,canonical,18583.982083015144,pass,18584.959416883066,0.11237501166760921,cheap,18403.91250094399,4,3341.9365419540554,135.95153973437846,21745.849042898044,1.34,4.5057,31128.05391685106,2,0.9773338679224253,0.9773338679224253,pending,1,analysis-02-r1-shared-single-2,delivered-unconfirmed,analysis-02
auto-heterogeneous,,18424.771834164858,canonical,18426.593915792182,pass,21435.747749870643,3.660124959424138,strong,18329.21825000085,4,1692.6723751239479,68.84449883364141,20021.890625124797,1.514,3.2837,39860.5195840355,2,3009.153834078461,3009.153834078461,pending,1,analysis-02-r1-auto-heterogeneous,delivered-unconfirmed,analysis-02
shared-heterogeneous-2,,17239.663041895255,canonical,20198.875667061657,pass,20203.99224990979,0.34074997529387474,strong,20069.316084031016,4,1535.733083030209,73.89616477303207,21605.049167061225,1.572,3.43735,37443.655291805044,2,5.116582848131657,5.116582848131657,pending,1,analysis-02-r1-shared-heterogeneous-2,delivered-unconfirmed,analysis-02
task-selector,,12911.906624911353,canonical,3828.6248750519007,pass,5544.432084076107,0.055958982557058334,cheap,3779.8677920363843,1,0,24.389457888901234,3779.8677920363843,1.325,1.37375,18456.33870898746,1,1715.8072090242058,1715.8072090242058,pending,1,analysis-02-r1-task-selector,delivered-unconfirmed,analysis-02
shared-single-1,,10303.522875066847,canonical,21940.928583033383,pass,21941.51174998842,0.04587508738040924,strong,21637.614334002137,4,0,5267.982208169997,21637.614334002137,1.38,4.5876,32245.03462505527,1,0.5831669550389051,0.5831669550389051,pending,1,analysis-02-r1-shared-single-1,delivered-unconfirmed,analysis-02
direct-cheap,,12076.250916114077,canonical,4533.903792034835,pass,4534.247542032972,0.040833139792084694,cheap,4480.507457861677,1,0,17.920167185366154,4480.507457861677,1.317,1.33245,16610.49845814705,1,0.34374999813735485,0.34374999813735485,pending,1,analysis-02-r1-direct-cheap,delivered-unconfirmed,analysis-02
shared-heterogeneous-1,,12904.39424989745,canonical,27532.66645804979,pass,27533.28900015913,0.056625111028552055,cheap,27339.63487483561,4,0,1567.7404999732971,27339.63487483561,1.534,3.37755,40437.68325005658,1,0.6225421093404293,0.6225421093404293,pending,1,analysis-02-r1-shared-heterogeneous-1,delivered-unconfirmed,analysis-02
direct-strong,,14135.610500117764,canonical,7010.731833055615,pass,7011.151290964335,0.06720796227455139,cheap,6945.0853751040995,1,0,23.72983400709927,6945.0853751040995,1.35,1.9134000000000002,21146.7617910821,1,0.41945790871977806,0.41945790871977806,pending,1,analysis-02-r1-direct-strong,delivered-unconfirmed,analysis-02
shared-heterogeneous-2,35611.13283294253,14614.652624819428,canonical,16291.233166120946,pass,16291.704708011821,0.12633297592401505,cheap,16085.70541581139,4,1076.3005409389734,109.46054314263165,17162.005956750363,1.351,2.74205,30906.35733283125,2,0.47154189087450504,0.47154189087450504,pending,1,decision-01-r1-shared-heterogeneous-2,delivered-unconfirmed,decision-01
direct-cheap,,10981.273083016276,canonical,2401.966249803081,pass,2402.252791915089,0.0374580267816782,strong,2339.7358329966664,1,0,22.63858402147889,2339.7358329966664,1.244,1.27455,13383.525874931365,1,0.28654211200773716,0.28654211200773716,pending,1,decision-01-r1-direct-cheap,delivered-unconfirmed,decision-01
