arm,cold_plan_and_execution_ms,delivery_ms,encoding_status,execution_ms,field_status,final_text_ready_ms,first_progress_emitted_ms,mixture_model,node_active_union_ms,node_count,node_overlap_ms,node_queue_ms,node_resource_ms,offline_afp,online_afp,online_ms,peak_nodes,plan_ready_ms,planning_ms,quality_status,repeat,run_id,status,task_id
direct-strong,,2.1476249676197767,canonical,2.1185411605983973,pass,2.3990001063793898,0.013541895896196365,strong,0.2832910977303982,1,0,0.7310418877750635,0.2832910977303982,0.15,0.23249999999999998,4.5466250739991665,1,0.2804589457809925,0.2804589457809925,pending,1,analysis-01-r1-direct-strong,delivered-unconfirmed,analysis-01
auto-heterogeneous,,2.086374908685684,canonical,12.360875029116869,pass,14.15266701951623,0.011167023330926895,strong,0.9372078347951174,3,0,5.124791990965605,0.9372078347951174,0.15,0.255,16.239041928201914,1,1.7917919903993607,1.7917919903993607,pending,1,analysis-01-r1-auto-heterogeneous,delivered-unconfirmed,analysis-01
task-selector,,3.519665915518999,canonical,5.299499956890941,pass,7.998791988939047,0.013874843716621399,strong,0.21233409643173218,1,0,2.2715828381478786,0.21233409643173218,0.15,0.195,11.518457904458046,1,2.699292032048106,2.699292032048106,pending,1,analysis-01-r1-task-selector,delivered-unconfirmed,analysis-01
shared-single-1,26.355832815170288,3.017582930624485,canonical,19.010124960914254,pass,19.209332996979356,0.01500011421740055,cheap,0.818624859675765,3,0,13.754626037552953,0.818624859675765,0.15,0.3975,22.22691592760384,1,0.19920803606510162,0.19920803606510162,pending,1,analysis-01-r1-shared-single-1,delivered-unconfirmed,analysis-01
shared-heterogeneous-2,,3.8105829153209925,canonical,22.70000008866191,pass,22.881750017404556,0.012292061001062393,strong,1.0122919920831919,3,0,12.94891582801938,1.0122919920831919,0.15,0.2475,26.69233293272555,1,0.18174992874264717,0.18174992874264717,pending,1,analysis-01-r1-shared-heterogeneous-2,delivered-unconfirmed,analysis-01
direct-mid,,5.390542093664408,canonical,11.321790982037783,pass,11.463708011433482,0.014750054106116295,cheap,0.2734588924795389,1,0,4.272958030924201,0.2734588924795389,0.15,0.1875,16.85425010509789,1,0.1419170293956995,0.1419170293956995,pending,1,analysis-01-r1-direct-mid,delivered-unconfirmed,analysis-01
direct-cheap,,5.349000217393041,canonical,11.720124864950776,pass,11.852999916300178,0.012415926903486252,strong,0.20987493917346,1,0,4.547207849100232,0.20987493917346,0.15,0.1575,17.20200013369322,1,0.13287505134940147,0.13287505134940147,pending,1,analysis-01-r1-direct-cheap,delivered-unconfirmed,analysis-01
shared-heterogeneous-1,,5.818667123094201,canonical,31.10612486489117,pass,31.295499997213483,0.011292053386569023,strong,0.7580409292131662,3,0,22.423542104661465,0.7580409292131662,0.15,0.2475,37.114167120307684,1,0.1893751323223114,0.1893751323223114,pending,1,analysis-01-r1-shared-heterogeneous-1,delivered-unconfirmed,analysis-01
shared-single-2,,6.370958872139454,canonical,36.25558316707611,pass,36.44725005142391,0.011625001206994057,strong,0.9595416486263275,3,0,20.69099899381399,0.9595416486263275,0.15,0.3975,42.81820892356336,1,0.19166688434779644,0.19166688434779644,pending,1,analysis-01-r1-shared-single-2,delivered-unconfirmed,analysis-01
direct-mid,,6.396666169166565,canonical,16.01095893420279,pass,16.149749979376793,0.012125121429562569,strong,0.21500000730156898,1,0,6.457916926592588,0.21500000730156898,0.15,0.1875,22.546416148543358,1,0.13879104517400265,0.13879104517400265,pending,1,analysis-02-r1-direct-mid,delivered-unconfirmed,analysis-02
shared-single-2,72.44454207830131,15.160667011514306,canonical,46.66916700080037,pass,46.83504207059741,0.012292061001062393,cheap,0.9937910363078117,3,0,24.56437493674457,0.9937910363078117,0.15,0.3975,61.995709082111716,1,0.16587506979703903,0.16587506979703903,pending,1,analysis-02-r1-shared-single-2,delivered-unconfirmed,analysis-02
